system,metric,mean,std,sem
Au-K-Tb,final/diversity_stable_structure_unique_structure_count,12.8,6.4,2.862167011199731
Au-K-Tb,final/diversity_stable_structure_unique_structure_fraction,0.8375,0.10736748938937604,0.048016200969626444
Au-K-Tb,final/novelty_novel_structure_count,50.0,0.0,0.0
Au-K-Tb,final/novelty_novel_structure_fraction,1.0,0.0,0.0
Au-K-Tb,final/novelty_stable_count,16.4,9.156418513807678,4.0948748454623125
Au-K-Tb,final/novelty_stable_fraction,0.328,0.18312837027615356,0.08189749690924625
Au-K-Tb,final/novelty_stable_novel_count,16.4,9.156418513807678,4.0948748454623125
Au-K-Tb,final/novelty_stable_novel_fraction,0.328,0.18312837027615356,0.08189749690924625
Au-K-Tb,final/novelty_stable_unique_count,12.8,6.4,2.862167011199731
Au-K-Tb,final/novelty_stable_unique_fraction,0.256,0.128,0.05724334022399461
Au-K-Tb,final/novelty_stable_unique_novel_count,12.8,6.4,2.862167011199731
Au-K-Tb,final/novelty_stable_unique_novel_fraction,0.256,0.128,0.05724334022399461
Au-K-Tb,final/novelty_unique_structure_count,46.0,2.6832815729997477,1.2
Au-K-Tb,final/novelty_unique_structure_fraction,0.9199999999999999,0.05366563145999495,0.023999999999999997
Au-K-Tb,final/num_correct_stable_formulas,0.0,0.0,0.0
Au-K-Tb,final/num_correct_stable_structures,0.0,0.0,0.0
Au-K-Tb,final/num_ground_truth_stable_formulas,10.0,0.0,0.0
Au-K-Tb,final/num_ground_truth_stable_structures,28.0,0.0,0.0
Au-K-Tb,final/num_gt_formulas_missing_initial,0.0,0.0,0.0
Au-K-Tb,final/num_gt_structures_missing_initial,0.0,0.0,0.0
Au-K-Tb,final/num_initial_structures,28.0,0.0,0.0
Au-K-Tb,final/num_newly_discovered_stable,12.8,6.4,2.862167011199731
Au-K-Tb,final/num_newly_discovered_structures,46.0,2.6832815729997477,1.2
Au-K-Tb,final/num_observed_stable_formulas,14.0,3.03315017762062,1.3564659966250534
Au-K-Tb,final/precision_formula,0.0,0.0,0.0
Au-K-Tb,final/precision_structure,0.0,0.0,0.0
Au-K-Tb,final/queries_used,50.0,0.0,0.0
Au-K-Tb,final/recall_formula,0.0,0.0,0.0
Au-K-Tb,final/recall_structure,0.0,0.0,0.0
Au-K-Tb,final/reference_composition_precision,0.0,0.0,0.0
Au-K-Tb,final/reference_composition_recall,0.0,0.0,0.0
Au-K-Tb,final/reference_structure_precision,0.0,0.0,0.0
Au-K-Tb,final/reference_structure_recall,0.0,0.0,0.0
Au-K-Tb,final/stable_discovery_efficiency,0.256,0.128,0.05724334022399461
Au-K-Tb,final/validity_distance_and_smact_valid_count,50.0,0.0,0.0
Au-K-Tb,final/validity_distance_and_smact_valid_fraction,1.0,0.0,0.0
Au-K-Tb,final/validity_distance_valid_count,50.0,0.0,0.0
Au-K-Tb,final/validity_distance_valid_fraction,1.0,0.0,0.0
Au-K-Tb,final/validity_min_interatomic_distance_mean,2.810678527749461,0.14729822544927426,0.06587376901393335
Au-K-Tb,final/validity_min_interatomic_distance_min,1.0032553222282543,0.3589547879283031,0.16052946133134133
Au-K-Tb,final/validity_min_interatomic_distance_std,0.9314702127115353,0.10742646546836943,0.04804257587396156
Au-K-Tb,final/validity_smact_valid_count,50.0,0.0,0.0
Au-K-Tb,final/validity_smact_valid_fraction,1.0,0.0,0.0
